timestamp,open,high,low,close,volume
31/12/1999,102.56,122.12,102.25,107.87,158626300
31/1/2000,112.44,124.75,109.62,112.25,175259600
29/2/2000,112.37,119.75,100.94,102.75,133524400
31/3/2000,102,128.25,99.5,118.37,194329000
28/4/2000,120,128,101.25,111.5,168464800
31/5/2000,112.5,113.62,102,107.31,123803200
30/6/2000,107.56,122.31,105.5,109.56,136216300
31/7/2000,108.75,117.81,100,112.25,150130400
31/8/2000,112,134.25,110.25,132.02,121998000
29/9/2000,133.06,134.94,110.25,112.62,107468400
31/10/2000,112.62,119.62,86.94,98.5,223510000
30/11/2000,98.44,104.37,91.62,93.5,130411900
29/12/2000,94.44,104.75,80.06,85,167790700
31/1/2001,84.5,116.75,83.75,112,198962600
28/2/2001,112.4,118.64,99.1,99.9,156438900
30/3/2001,99.3,108.4,87.65,96.18,254550000
30/4/2001,97.45,118.05,90.05,115.14,226210900
31/5/2001,115.85,119.9,110.96,111.8,159356200
29/6/2001,112.5,119,111.1,113.5,142929700
31/7/2001,113.5,115.4,101.56,105.21,161016400
31/8/2001,105.35,110.09,98.86,99.95,143401500
28/9/2001,100.15,103.13,87.49,91.72,189312500
31/10/2001,91.72,112.1,91.34,108.07,224351500
30/11/2001,107.25,117,106.9,115.59,135136300
31/12/2001,114.8,124.7,113.21,120.96,133393800
31/1/2002,120.6,126.39,101,107.89,193562900
28/2/2002,107.64,109.3,95.76,98.12,172321000
28/3/2002,98.6,108.85,98.5,104,151268500
30/4/2002,104,104,83.34,83.76,246503300
31/5/2002,83.85,86.49,75.92,80.45,172738400
28/6/2002,80.75,80.95,66.1,72,190980700
31/7/2002,72.01,74.2,65.7,70.4,246256900
30/8/2002,70.4,82.85,65.85,75.38,166322300
30/9/2002,74.2,77.5,57.99,58.31,185664400
31/10/2002,59.2,79.79,54.01,78.94,285626300
29/11/2002,78.9,88.11,76.7,86.92,184438100
31/12/2002,88.6,89.46,75.6,77.5,151563500
31/1/2003,78.8,88.95,77.02,78.2,193933500
28/2/2003,78.2,80.05,74.31,77.95,145672700
31/3/2003,78.9,84.9,73.17,78.43,191937200
30/4/2003,78.5,86.49,78.12,84.9,177874300
30/5/2003,85.3,90.4,84.45,88.04,149548000
30/6/2003,89,89.08,79.81,82.5,184488300
31/7/2003,81.4,87.03,80.58,81.25,153915600
29/8/2003,81.15,84.72,78.73,82.01,113895200
30/9/2003,82.4,93.47,82.3,88.33,171943100
31/10/2003,88.75,94.54,87.53,89.48,156145400
28/11/2003,89.9,91.48,87.72,90.54,97966100
31/12/2003,90.9,94.12,90.03,92.68,116103600
30/1/2004,92.86,99.85,89.01,99.23,139368500
27/2/2004,99.15,100.43,95.2,96.5,97741900
31/3/2004,96.5,97.6,90.28,91.84,124483700
30/4/2004,91.67,94.55,88.01,88.17,110632000
28/5/2004,88.13,89.75,85.12,88.59,104707300
30/6/2004,88.09,91.21,87.3,88.15,91968600
30/7/2004,88.28,88.44,83.42,87.07,121001000
31/8/2004,86.87,87.39,81.9,84.69,91169700
30/9/2004,84.05,87.28,83.24,85.74,93906300
29/10/2004,85.95,90.27,84.29,89.75,118116100
30/11/2004,89.33,96.63,89.23,94.24,114982100
31/12/2004,94.5,99,94.47,98.58,108170400
31/1/2005,98.97,99.1,91.44,93.42,114459000
28/2/2005,93.67,94.97,91.55,92.58,79707700
31/3/2005,92.64,93.73,89.09,91.38,106145200
29/4/2005,91.49,91.76,71.85,76.38,216745500
31/5/2005,76.88,78.11,72.5,75.55,138416000
30/6/2005,75.57,77.73,73.45,74.2,135542800
29/7/2005,74.3,85.11,74.16,83.46,156801500
31/8/2005,83,84.2,79.87,80.62,105031100
30/9/2005,80.16,82.11,76.93,80.22,115681400
31/10/2005,80.22,84.6,78.7,81.88,139881800
30/11/2005,81.85,89.94,80.64,88.9,110664500
30/12/2005,89.15,89.92,81.56,82.2,120052400
31/1/2006,82.45,85.03,80.21,81.3,146491600
28/2/2006,80.9,82.24,78.93,80.24,111052200
31/3/2006,80.01,84.99,79.51,82.47,111514900
28/4/2006,82.72,84.45,80.63,82.34,114007000
31/5/2006,82.59,83.69,79,79.9,113146500
30/6/2006,79.89,80.87,76.06,76.82,139457800
31/7/2006,77.54,78.53,72.73,77.41,137188300
31/8/2006,76.86,81.68,74.9,80.97,100880300
29/9/2006,81.13,83.79,79.31,81.94,102776100
31/10/2006,81.76,92.68,81.56,92.33,170367300
30/11/2006,92.5,94.05,90.43,91.92,104430000
29/12/2006,91.9,97.88,90.55,97.15,104470200
31/1/2007,97.17,100.9,94.55,99.15,192702000
28/2/2007,98.97,100.44,92.47,92.94,125776200
30/3/2007,90.25,95.81,88.77,94.26,163194500
30/4/2007,94.51,103,93.911,102.21,166807200
31/5/2007,102.06,108.05,101.35,106.6,146441400
29/6/2007,106.62,107.24,101.56,105.25,169602000
31/7/2007,105.39,118.82,104.58,110.65,212757600
31/8/2007,110.39,117.35,103.7,116.69,202871500
28/9/2007,116.34,118.89,114.3,117.8,132233800
31/10/2007,117.61,121.46,110.96,116.12,171669000
30/11/2007,115.5,116.09,99.27,105.18,200920600
31/12/2007,105.45,112.19,104,108.1,134151600
31/1/2008,108.99,108.99,97.04,107.11,247523900
29/2/2008,107.21,116.63,100.6,113.86,168280800
31/3/2008,114.09,119.79,111.8,115.14,179284200
30/4/2008,115.14,125,113.86,120.7,192087200
30/5/2008,121.06,129.99,120.78,129.43,159517500
30/6/2008,128.67,129.37,118.15,118.53,152327500
31/7/2008,117.5,130.93,116.6,127.98,200876500
29/8/2008,128.52,129.97,121.5,121.73,137028800
30/9/2008,122.87,124,109.95,116.96,218411700
31/10/2008,115.51,116.8,78.82,92.97,314972000
28/11/2008,92.64,94.76,69.5,81.6,218313000
31/12/2008,80.95,87.27,75.31,84.16,188846100
30/1/2009,83.89,94.94,81.76,91.65,208959400
27/2/2009,90.6,97.1,82.85,92.03,223017600
31/3/2009,91.17,99.86,83.02,96.89,286114500
30/4/2009,96.13,106.05,95.7,103.21,213623100
29/5/2009,103.78,106.82,99.83,106.28,153084700
30/6/2009,106.94,110.64,103.51,104.42,160502100
31/7/2009,105,119.37,99.5,117.93,176171400
31/8/2009,118.88,120.88,116.12,118.05,112480200
30/9/2009,117.67,122.88,115.15,119.61,131522200
30/10/2009,119.39,128.61,117.26,120.61,183531100
30/11/2009,120.61,128.94,119.5,126.35,110748200
31/12/2009,127.29,132.85,126,130.9,124475900
29/1/2010,131.18,134.25,121.9,122.39,156110600
26/2/2010,123.23,128.27,121.61,127.16,113211200
31/3/2010,127.5,130.73,125.2,128.25,139997300
30/4/2010,128.95,132.28,127.12,129,146426400
28/5/2010,129.39,133.1,116,125.26,188444200
30/6/2010,124.69,131.94,122.82,123.48,162019100
30/7/2010,123.55,131.6,120.61,128.4,144080000
31/8/2010,129.25,132.49,122.28,123.13,117394000
30/9/2010,125.31,136.11,124.52,134.14,116092900
29/10/2010,135.51,144,134.39,143.6,137284700
30/11/2010,143.64,147.53,141.18,141.46,104096700
31/12/2010,143.61,147.5,143.51,146.76,93392800
31/1/2011,147.21,164.35,146.64,162,118831600
28/2/2011,162.11,166.25,159.03,161.88,89067500
31/3/2011,163.15,167.72,151.71,163.07,129714300
29/4/2011,163.7,173,162.19,170.58,100769500
31/5/2011,172.11,173.54,165.9,168.93,110804200
30/6/2011,168.9,172.4468,161.52,171.55,105442400
29/7/2011,171.61,185.63,171.49,181.85,113593200
31/8/2011,182.6,183.69,157.13,171.91,195054100
30/9/2011,172.71,180.91,158.76,174.87,137895000
31/10/2011,174.36,190.53,168.88,184.63,144563700
30/11/2011,181.55,189.97,177.06,188,97014100
30/12/2011,187.01,194.9,179.04,183.88,103436500
31/1/2012,186.73,193.1,177.3472,192.6,110015000
29/2/2012,193.21,199.23,190.831,196.73,78809900
30/3/2012,197.23,209.12,196.812,208.65,88096900
30/4/2012,208.96,210.69,196.791,207.08,86603000
31/5/2012,207.18,208.929,192,192.9,86005300
29/6/2012,190.12,199.99,187,195.58,84559100
31/7/2012,196.36,197.84,181.85,195.98,91516500
31/8/2012,196.96,202,193.02,194.85,60653700
28/9/2012,196.61,208.32,193.25,207.45,77341400
31/10/2012,208.01,211.79,190.56,194.53,96155000
30/11/2012,194.96,198,184.78,190.07,81892500
31/12/2012,190.76,196.45,186.94,191.55,79320200
31/1/2013,194.09,208.58,190.39,203.07,87636600
28/2/2013,204.65,205.35,197.51,200.83,64144100
28/3/2013,200.65,215.9,199.36,213.3,76023800
30/4/2013,212.8,214.89,187.68,202.54,108666600
31/5/2013,201.87,211.98,199.2,208.02,90683600
28/6/2013,208.25,210.05,188.41,191.11,80215000
31/7/2013,192.15,200.94,190.26,195.04,88079400
30/8/2013,196.65,197.17,181.1,182.27,73077400
30/9/2013,183.63,194.89,182.31,185.18,71488100
31/10/2013,185.34,186.99,172.57,179.21,130967100
29/11/2013,179.81,186.24,177.31,179.68,100984900
31/12/2013,179.46,187.79,172.73,187.57,97993100
31/1/2014,187.21,190.81,175.34,176.68,123489300
28/2/2014,176.02,186.12,172.19,185.17,87054800
31/3/2014,183.33,195.63,182.21,192.49,118984000
30/4/2014,193.12,199.21,187.01,196.47,118447100
30/5/2014,196.31,196.74,182.33,184.36,70018300
30/6/2014,184.76,187.65,179.27,181.27,78501700
31/7/2014,181.7,196.4,181.7,191.67,97597800
29/8/2014,190.5,194.133,183.58,192.3,53441600
30/9/2014,192.68,195,188.12,189.83,64033759
31/10/2014,189.91,190.89,161.1,164.4,146272610
28/11/2014,164.25,164.97,159.8,162.17,80018581
31/12/2014,161.64,164.52,150.5,160.44,101614529
30/1/2015,161.31,163.31,149.52,153.31,117395861
27/2/2015,154,164.99,151.51,161.94,77654705
31/3/2015,161.68,165.35,153.4,160.5,104899758
30/4/2015,160.23,175.1303,158.39,171.29,93821213
29/5/2015,173.2,176.3,168.84,169.65,57916093
30/6/2015,170.21,171.5601,162.12,162.66,80845501
31/7/2015,163.97,173.78,158.5,161.99,93805392
31/8/2015,161.7,161.85,140.62,147.89,93750967
30/9/2015,144.84,149.68,141.1501,144.97,81761648
30/10/2015,145.31,153.147,137.33,140.08,120622363
30/11/2015,140.5,142.8,131.65,139.42,85421426
31/12/2015,139.58,141.4,133.91,137.62,97650594
29/1/2016,135.6,136.89,118,124.79,126204196
29/2/2016,124.4,134.92,116.901,131.03,106703104
31/3/2016,132.24,153.1,132.03,151.45,105698603
29/4/2016,150.51,153.52,142.61,145.94,94431134
31/5/2016,146.56,153.81,142.9,153.74,75248178
30/6/2016,153,155.48,142.5,151.78,77115961
29/7/2016,152.19,163.6,149.92,160.62,69930927
31/8/2016,160.65,164.95,157.85,158.88,69680582
30/9/2016,158.32,165,153.21,158.85,69951563
31/10/2016,158.06,158.53,147.79,153.69,78325840
30/11/2016,153.5,164.66,151,162.22,76340912
30/12/2016,161.95,169.952,158.3,165.99,69463793
31/1/2017,167,179.25,165.34,174.52,88671370
28/2/2017,175,182.79,172.89,179.82,59817600
31/3/2017,180.48,182.55,172.0937,174.14,79476385
28/4/2017,173.82,176.33,159.6,160.29,80758989
31/5/2017,160.05,160.42,149.79,152.63,102455942
30/6/2017,152.8,157.2,150.8,153.83,82652760
31/7/2017,153.58,156.025,143.64,144.67,91242021
31/8/2017,145,145.67,139.13,143.03,79260314
29/9/2017,142.98,147.42,141.64,145.08,77056229
31/10/2017,145.35,162.51,145.21,154.06,121490046
30/11/2017,154.1,154.9,146.211,153.97,89208545
29/12/2017,154.4,157.85,151.49,153.42,87525752
31/1/2018,154.5,171.13,153.54,163.7,140197975
28/2/2018,163.19,164.13,144.4,155.83,100673819
29/3/2018,155.53,162.11,148.54,153.43,92113147
30/4/2018,153.34,162,144.11,144.96,122893135
31/5/2018,144.65,146.2,139.9,141.31,88812832
29/6/2018,142.43,147.52,137.45,139.7,90243111
31/7/2018,138.28,150.54,138.2,144.93,95015127
31/8/2018,144.76,147.93,142,146.48,79196876
28/9/2018,145.98,153.35,144.81,151.21,95868702
31/10/2018,151.71,154.36,114.09,115.43,198093801
30/11/2018,115.5,125.06,114.54,124.27,141719180
31/12/2018,125.67,126.59,105.94,113.67,115600988
31/1/2019,112.01,135.41,111.69,134.42,120388583
28/2/2019,134.97,140.49,132.12,138.13,68462024
29/3/2019,139.31,142.12,133.58,141.1,74688899
30/4/2019,141.51,145.39,136.26,140.27,80199229
31/5/2019,140.55,141.81,126.85,126.99,75537897
28/6/2019,127.1,140.15,127.06,137.9,61342985
31/7/2019,139.6,151.94,139.13,148.24,80175943
30/8/2019,148.9,152.95,128.83,135.53,96719129
30/9/2019,134.85,146.57,133.33,145.42,62083780
31/10/2019,145.59,147.35,130.9,133.73,92647927
29/11/2019,134.5,139.14,132.75,134.45,64898948
31/12/2019,134.45,136.42,130.69,134.04,71661951
31/1/2020,135,145.79,133.2,143.73,112864967
28/2/2020,144.25,158.75,126.36,130.15,118092333
31/3/2020,130.75,136.1,90.56,110.93,189585053
30/4/2020,106.36,129.31,104.52,125.56,130400316
29/5/2020,123.19,126.97,111.81,124.9,92864791
30/6/2020,124.64,135.88,115.88,120.77,120931250
31/7/2020,120.27,132.17,115.2,122.94,113972765
31/8/2020,123.5,130.47,122.15,123.31,74033007
30/9/2020,122.85,129.95,116.48,121.67,84510174
30/10/2020,122.36,135.5,105.92,111.66,159130911
30/11/2020,112.65,125.313,111.16,123.52,103461100
31/12/2020,123.9,127.69,121.72,125.88,102587006
29/1/2021,125.85,132.24,117.36,119.11,176168962
26/2/2021,119.9,124.35,118.12,118.93,106339228
31/3/2021,120.35,137.07,118.755,133.26,127967821
30/4/2021,133.76,148.74,130.38,141.88,122920494
28/5/2021,143.81,148.515,140.92,143.74,98036425
30/6/2021,145,152.84,143.04,146.59,84365220
30/7/2021,146.96,147.5,136.2089,140.96,110625907
31/8/2021,141.45,144.7,137.21,140.34,69687056
30/9/2021,139.98,140.57,132.78,138.93,76644238
29/10/2021,141,146,124.62,125.1,144097758
30/11/2021,125.05,127.29,114.56,117.1,119252012
31/12/2021,118.25,134.99,116.56,133.66,113930079
31/1/2022,134.07,142.2,124.193,133.57,147238382
28/2/2022,133.76,138.82,118.81,122.51,98492968
31/3/2022,122.67,133.08,120.7,130.02,96447210
29/4/2022,129.66,141.88,124.91,132.21,107525264
31/5/2022,133,139.83,125.8,138.84,113207659
30/6/2022,139.67,144.73,132.85,141.19,105815743
29/7/2022,141,141.87,125.13,130.79,129801061
31/8/2022,130.75,139.34,128.4,128.45,77392342
30/9/2022,128.4,130.99,118.61,118.81,87256958
31/10/2022,120.16,138.8615,115.545,138.29,113480787
30/11/2022,138.25,150.46,133.97,148.9,93620235
30/12/2022,149.98,153.21,137.195,140.89,86426226
31/1/2023,141.1,147.18,132.98,134.73,105576019
28/2/2023,134.49,137.39,128.86,129.3,76080679
31/3/2023,128.9,131.48,121.71,131.09,138093084
28/4/2023,130.97,132.61,124.56,126.41,83664114
31/5/2023,126.35,130.0699,120.55,128.59,95710890
30/6/2023,128.44,139.469,127.78,133.81,100722016
31/7/2023,133.42,144.605,131.55,144.18,85778938
31/8/2023,144.25,147.7275,139.76,146.83,84274205
29/9/2023,147.26,151.9299,139.61,140.3,82806487
31/10/2023,140.04,144.76,135.87,144.64,94386980
30/11/2023,145,158.6,144.45,158.56,78460252
29/12/2023,158.41,166.34,158,163.55,87358302
31/1/2024,162.83,196.9,157.885,183.66,128121557
29/2/2024,183.63,188.95,178.75,185.03,88679550
21/3/2024,185.49,199.18,185.18,191.9,80550080
