timestamp,open,high,low,close,volume
12/11/1999,90.5,97.5,90.5,95.87,43569700
19/11/1999,96,105.12,92.62,103.94,61550800
26/11/1999,105.5,109.87,101.81,105,37165600
3/12/1999,104.94,112.87,102.12,111.87,37670000
10/12/1999,113,122.12,107.56,109,58626000
17/12/1999,108.12,112.75,104.5,110,38810100
23/12/1999,109.06,110.44,107.75,108.62,18144100
31/12/1999,109.69,110.75,106.62,107.87,16812500
7/1/2000,112.44,119.75,110.62,113.5,51137300
14/1/2000,117.25,123.31,115.37,119.62,42663900
21/1/2000,119.69,124.75,112.69,121.5,41930500
28/1/2000,121.87,122.87,110.06,111.56,33325200
4/2/2000,111.37,118.44,109.12,115.62,32834200
11/2/2000,116,119.75,113.12,115.37,26814500
18/2/2000,116,118.87,111.5,112.5,26599300
25/2/2000,112,113.44,104.94,108,34514300
3/3/2000,104.62,110,99.5,108,51128300
10/3/2000,109.94,111,101,105.25,42586200
17/3/2000,104,111.69,102.5,110,36990400
24/3/2000,110,122.25,109.94,120.62,38090900
31/3/2000,125,128.25,117.06,118.37,44498000
7/4/2000,120,128,115.06,123.12,47344000
14/4/2000,124.75,125.37,102.87,105,42149600
20/4/2000,103.87,115.12,102.06,104,43482800
28/4/2000,102,113.94,101.25,111.5,35488400
5/5/2000,112.5,113.62,106.5,107.87,22151300
12/5/2000,108.06,110.62,102.06,104.44,33410400
19/5/2000,104,109.25,102,106.44,29694500
26/5/2000,106,112.25,103.44,106.94,31197000
2/6/2000,107.75,111,105.5,108.81,18535800
9/6/2000,108.44,122.31,108.44,119.69,37831000
16/6/2000,119.12,120.44,113.25,113.25,26364000
23/6/2000,113.5,120.69,110.81,111.87,27864000
30/6/2000,113,115.75,108.62,109.56,32971500
7/7/2000,108.75,109.87,100,105.06,38608400
14/7/2000,104.69,105.94,101,103.94,25072200
21/7/2000,104.44,117.81,101,114.75,52881600
28/7/2000,114.12,115.62,108.87,111.81,28454700
4/8/2000,110.5,116.5,110.06,115.87,24015800
11/8/2000,116.62,121.81,115.56,120.62,29859300
18/8/2000,120,123.69,119.31,120.44,23739400
25/8/2000,121.06,129.88,119.87,129,24522100
1/9/2000,129.88,134.94,129.56,133.63,30751200
8/9/2000,132.81,134.88,129.38,129.5,20201600
15/9/2000,127.87,129.19,122.75,125,28000200
22/9/2000,125.25,126.69,120,123.87,22129500
29/9/2000,124.5,126.62,110.25,112.62,31360800
6/10/2000,112.62,119.62,108.56,116,43940700
13/10/2000,115.94,119.37,103.12,109.06,38085500
20/10/2000,111.5,113.87,90.25,94.75,73706800
27/10/2000,94.75,95,86.94,93.69,48790400
3/11/2000,93.5,102.62,90.31,100.12,39746400
10/11/2000,99.87,103.75,93,93,32715700
17/11/2000,91.81,102.5,91.62,101.94,29453200
24/11/2000,101.5,104.37,98.31,99.94,22641900
1/12/2000,100.44,102,92.25,95.62,32366400
8/12/2000,96,104.75,93.12,97,37530500
15/12/2000,96.5,98.25,87.31,87.81,41477400
22/12/2000,88.37,94.44,80.06,89,50218000
29/12/2000,89,89.56,82.12,85,31039700
5/1/2001,84.5,99.75,83.75,94,44240800
12/1/2001,93.5,96.44,91.25,93.81,37351000
19/1/2001,93.75,113.94,91.81,111.25,55406000
26/1/2001,109.5,115.25,107.62,114.19,40283600
2/2/2001,112.5,116.75,109.6,110.27,32690400
9/2/2001,109.4,118.2,109.3,112,36346600
16/2/2001,110.55,118.64,110.3,115,36127100
23/2/2001,114.55,115.6,100.25,104,42890800
2/3/2001,105.8,107.65,97.5,102.3,59912700
